Applied filters:,Date (Arrival Date) BETWEEN 05/01/2024 AND 04/30/2025
Rugby at 10th (no number),891.00
Rugby at 12th (no number),"1,217.00"
Rugby at 14th (no number),942.00
Rugby at 16th (no number),"1,979.00"
Rutgers SB at K&W (no number),"1,535.00"
Rutgers SB at Kroger Fuel Center (no number),"1,103.00"
S Jefferson at Yellow Mountain Road (1719),"4,718.00"
Salem at 18th (no number),331.00
Salem Avenue EB at 10th (no number),469.00
Salem Avenue EB at 13th (no number),"2,806.00"
Salem Avenue EB at 16th (no number),879.00
Salem Avenue EB at 6th (no number),391.00
Salem Avenue WB at 10th (no number),40.00
Salem Avenue WB at 12th (no number),68.00
Salem Avenue WB at 14th (no number),120.00
Salem Avenue WB at 16th (no number),156.00
Salem Avenue WB at 5th (no number),683.00
Salem Avenue WB at 6th (no number),378.00
Salem Avenue WB at 8th (no number),73.00
Salem EB at 4th (no number),21.00
Salem EB at 8th (no number),488.00
Salem Turnpike EB at 24th (no number),"3,510.00"
Salem Turnpike EB at 30th (no number),"3,518.00"
Salem Turnpike EB at 31st (Structural Steel) (no number),85.00
Salem Turnpike EB at Delta (no number),"4,750.00"
Salem Turnpike EB near 31st (Contractor's Building Supply) (no number),34.00
Salem Turnpike WB at 24th (no number),514.00
Salem Turnpike WB at 29th (no number),208.00
Salem Turnpike WB at 31st (Structural Steel) (no number),57.00
Salem Turnpike WB at Delta (no number),506.00
Salem Turnpike WB at Westwood (no number),0.00
Salem VA Medical Center (no number),"10,274.00"
Salem Walmart Parking Lot (no number),"8,348.00"
Shenandoah EB at 36th/Beech (no number),780.00
Shenandoah EB at Cherry Hill (no number),793.00
Shenandoah EB at Old Spanish Trail (no number),1.00
Shenandoah EB at Westside (Convenience Store) (no number),"3,074.00"
Shenandoah WB at 36th/Beech (no number),161.00
Shenandoah WB at 6th (no number),34.00
Shenandoah WB at 8th (no number),270.00
Shenandoah WB at Calvary Chapel (no number),"1,154.00"
Shenandoah WB at Food Lion (no number),"1,261.00"
Squires Student Center (no number),"4,557.00"
Staunton EB at 12th (no number),909.00
Staunton EB at 14th (no number),"1,007.00"
Staunton EB at 16th (no number),686.00
Staunton EB at 18th (no number),"1,962.00"
Staunton EB at 20th (no number),465.00
Staunton EB at 22nd (no number),544.00
Staunton EB at 24th (no number),590.00
Staunton EB at 25th (no number),574.00
Staunton WB at 12th (no number),148.00
Staunton WB at 14th (no number),107.00
Staunton WB at 16th (no number),90.00
Staunton WB at 18th (no number),242.00
Staunton WB at 20th (no number),297.00
Staunton WB at 22nd (no number),78.00
Staunton WB at 24th (no number),55.00
Staunton WB at Lafayette (no number),115.00
Tanglewood Mall (Barnes and Noble) (no number),"13,438.00"
Tanglewood Mall at TJ Maxx (no number),"2,706.00"
Tayloe SB at Miami (no number),102.00
Tayloe SB at Morton (no number),708.00
Tazewell EB at 4th (no number),"2,237.00"
Tazewell EB at 7th (no number),303.00
Tazewell EB at 8 1/2 (no number),300.00
Tazewell WB at 7th (no number),"1,012.00"
Tazewell WB at 8 1/2 (no number),"1,114.00"
Tazewell WB at I-581 Bridge (no number),"9,355.00"
Towers Mall at Dunkin Donuts (no number),"8,052.00"
Towne Square Blvd EB at Kroger (no number),"7,142.00"
Towne Square EB at ECPI (no number),66.00
Towne Square EB at Office Max (no number),538.00
Towne Square WB at Office Max (no number),497.00
Towne Square WB at Rutgers (Golden Corral) (no number),"1,391.00"
VA Veterans Care Center (no number),259.00
Valley Court (no number),"2,250.00"
Valley View Blvd SB at O'Charleys (no number),829.00
Valley View Blvd SB at Target (no number),"1,198.00"
Valley View Mall  (no number),"5,258.00"
Valley View Ring Road at Lewis Gale Clinic (no number),240.00
Valley View Ring Road at Walmart (no number),"28,164.00"
Valley View Ring Road SB at Olive Garden (no number),338.00
Valley View Ring Road SB at TGI Fridays (no number),245.00
Valley View Road at Best Western (no number),550.00
Valley View Road at Dollar Tree (no number),"1,218.00"
Valley View Road at Lewis Gale Clinic (no number),192.00
Valley View Road at Main Stay Hotel (no number),701.00
Vernon NB at Kenwood (no number),86.00
Vineyard NB at Lancerlot (no number),423.00
Vineyard NB at Verizon (no number),"3,623.00"
Vineyard SB at Rosies  (no number),"5,896.00"
Virginia EB at 3rd (no number),304.00
Virginia EB at Glade (Tinker Creek) (no number),44.00
Virginia EB at PFG (no number),474.00
Virginia WB at 2nd (no number),"2,308.00"
Virginia WB at 4th (no number),753.00
Virginia WB at Glade (Tinker Creek) (no number),64.00
VTC (no number),"8,314.00"
Walnut EB at 8th (Alvaro's Store) (no number),91.00
Walnut EB at Jefferson (no number),101.00
Walnut WB at Booker (no number),286.00
Walnut WB at Jefferson (no number),"1,409.00"
Wasena NB at Richard T Wellins Rd. (no number),199.00
Wasena SB at Hampton (no number),21.00
Wasena SB at Maiden (no number),885.00
Washington EB at Blair (no number),47.00
Washington EB at Maple (no number),72.00
Washington EB at Mountain View (no number),151.00
Washington EB at Pine (no number),393.00
Washington EB at River Park Shopping Center Driveway (no number),40.00
Washington WB at Blair (no number),1.00
Washington WB at Meadow (no number),555.00
Washington WB at Mountain View (no number),710.00
Washington WB at Poplar (no number),287.00
Washington WB at Preston (no number),493.00
Wells at Jefferson (no number),"1,577.00"
West Main EB at Broad (no number),612.00
West Main EB at Chestnut/Lewis (no number),117.00
West Main EB at Maple (no number),123.00
West Main EB at Mill/Spartan (Sheetz) (no number),"2,207.00"
West Main WB at Academy/Union (no number),"1,105.00"
West Main WB at Broad (no number),"1,006.00"
West Main WB at Goodwin (no number),695.00
West Main WB at Poplar (no number),"2,574.00"
West Main WB at Shanks (no number),130.00
West Main WB at Spartan (Kmart) (no number),510.00
West Main WB at Valleydale (no number),275.00
Westwood NB at Fairview Elementary (and Greenvale School) (no number),657.00
Westwood NB at Salem Turnpike (no number),"2,238.00"
Westwood NB at Shenandoah (no number),"1,328.00"
Westwood NB at Troutland (no number),800.00
Westwood SB at Fairview Elementary (and Greenvale School) (no number),131.00
Westwood SB at Shenandoah (no number),300.00
Westwood SB at Troutland (no number),63.00
Williamson NB at 10th (no number),624.00
Williamson NB at Angell (AutoZone) (no number),258.00
Williamson NB at Bowman (opposite NY Deli) (no number),324.00
Williamson NB at Carver (no number),338.00
Williamson NB at Clover (no number),241.00
Williamson NB at Compton (no number),"1,665.00"
Williamson NB at Frontier (no number),642.00
Williamson NB at Fugate (no number),114.00
Williamson NB at Laconia (no number),798.00
Williamson NB at Liberty (no number),"1,008.00"
Williamson NB at Maplelawn (no number),611.00
Williamson NB at Oakland (no number),480.00
Williamson NB at Preston (no number),290.00
Williamson NB at Rutherford (no number),595.00
Williamson NB at Sycamore (no number),510.00
Williamson NB at Truman (no number),445.00
Williamson SB at 10th (no number),"1,470.00"
Williamson SB at Angell (no number),"1,502.00"
Williamson SB at Berglund (no number),259.00
Williamson SB at Bowman (NY Deli) (no number),654.00
Williamson SB at Carver (Sheetz) (no number),913.00
Williamson SB at Chatham (no number),"2,769.00"
Williamson SB at Clover (no number),637.00
Williamson SB at Compton (no number),"6,335.00"
Williamson SB at Laconia (no number),"2,137.00"
Williamson SB at Liberty (no number),"2,103.00"
Williamson SB at Life Pointe (no number),"1,665.00"
Williamson SB at Lyndhurst (no number),1.00
Williamson SB at Oakland (no number),"1,944.00"
Williamson SB at Preston (no number),"1,882.00"
Williamson SB at Rutherford (Roanoke Civic Center) (no number),"2,395.00"
Williamson SB at Sycamore (no number),785.00
Williamson SB at Truman (no number),"1,696.00"
Williamson SB at Yardley (no number),"1,681.00"
Wise EB at 14th (no number),120.00
Wise EB at 16th (no number),51.00
Wise EB at 18th (no number),459.00
Wise EB at Indian Village (no number),220.00
Wise WB at 16th (no number),846.00
Wise WB at 18th (no number),240.00
Wise WB at Indian Village (no number),"2,336.00"
